,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,season_count
7131,s7132,TV Show,JingleKids,,,Russia,2019-04-01,2017,TV-Y7,0,Kids' TV,"In a magical wonderland, merry children and their furry friends explore their unique hobbies while making eye-opening discoveries through adventures.",2019,4.0,1
7140,s7141,TV Show,Jonathan Strange & Mr Norrell,Toby Haynes,"Eddie Marsan, Bertie Carvel, Marc Warren, Charlotte Riley, Alice Englert, Samuel West, Enzo Cilenti, Paul Kaye, Edward Hogg, Ariyon Bakare",United Kingdom,2016-08-25,2015,TV-14,0,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In 1806, ambitious magician Norrell leads a revival of practical magic in England and ignites a fierce rivalry with bold young conjurer Strange.",2016,8.0,1
7142,s7143,TV Show,Juana Brava,,"Elisa Zulueta, Alejandro Trejo, Lucas Balmaceda, Gastón Salgado, Nelson Brodt, Emilia Noguera, Daniel Guillón, Ángela Lineros",Chile,2017-03-20,2015,TV-MA,0,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality.",2017,3.0,1
7143,s7144,TV Show,Juana Inés,,"Arcelia Ramírez, Arantza Ruiz, Hernán Del Riego, Margarita Sanz, Lisa Owen, Yolanda Corrales, Carlos Valencia, Mauricio Isaac, Pedro de Tavira Egurrola, Emilio Savinni, Néstor Galván, Paulina Matos, Alberto Collado, Rocío García, Luis Maya, Clementina Guadarrama",Mexico,2017-01-27,2016,TV-14,0,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Juana Inés de la Cruz, a powerful feminist nun involved in a forbidden love affair with a woman, faces oppression in 17th-century Mexico.",2017,1.0,1
7148,s7149,TV Show,Julius Jr.,,"Elizabeth Daily, Julie Lemieux, Athena Karkanis, Benjamin Israel, Stephanie Lynn Robinson",United States,2015-11-03,2014,TV-Y,0,Kids' TV,Paul Frank's fun artwork comes to life in this show that follows monkey Julius Jr. and his friends as they explore the world and help each other out.,2015,11.0,2
7155,s7156,TV Show,K,,"Daisuke Namikawa, Daisuke Ono, Mikako Komatsu, Kenjiro Tsuda, Tomokazu Sugita, Yui Horie, Takahiro Sakurai, Jun Fukuyama, Yuichi Nakamura, Miyuki Sawashiro, Mamoru Miyano, Satomi Sato, Yuki Kaji, Tetsuya Kakihara, Shozo Iizuka",Japan,2016-12-01,2012,TV-MA,0,"Anime Series, Crime TV Shows, International TV Shows","A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two powerful kings and their forces.",2016,12.0,1
7157,s7158,TV Show,Kaçak,,"Gürkan Uygun, Mustafa Avkıran, Berk Hakman, Begüm Birgören, Özlem Yılmaz, Yağmur Tanrısevsin, İnanç Konukçu, Hasan Küçükçetin, Metin Coşkun, Selda Özer, Yağız Atakan Savaş, Burak Deniz, Cengiz Sezici, Haluk Bilginer, Tuğba Melis Türk",Turkey,2016-12-26,2013,TV-14,0,"Crime TV Shows, International TV Shows, TV Action & Adventure",A cop who killed a mobster's son and fled to a small town with a changed identity finds his quiet new life disrupted when he becomes a local hero.,2016,12.0,1
7175,s7176,TV Show,Ken Burns: The Civil War,Ken Burns,"Sam Waterston, Julie Harris, Jason Robards, Morgan Freeman, Paul Roebling, Garrison Keillor, George Black, David McCullough, Arthur Miller, Christopher Murney, Charles McDowell, Horton Foote, George Plimpton, Philip Bosco, Terry Courier, Jody Powell, Studs Terkel",United States,2017-02-22,1990,TV-14,0,Docuseries,"Ken Burns's documentary depicts the action of famous Civil War battles, and relates the stories of soldiers, generals and a beleaguered president.",2017,2.0,1
7176,s7177,TV Show,Ken Burns: The Roosevelts: An Intimate History,Ken Burns,,United States,2017-02-22,2014,TV-PG,0,Docuseries,"Award-winning documentarian Burns profiles three members of one of America's premier political families: Theodore, Franklin and Eleanor Roosevelt.",2017,2.0,1
7177,s7178,TV Show,Ken Burns: The West,,Peter Coyote,United States,2017-03-14,1996,TV-PG,0,Docuseries,Historian Ken Burns and his team bring to life the challenges Americans faced in the 19th century as they embarked on westward expansion.,2017,3.0,1
7182,s7183,TV Show,Khaani,,"Feroze Khan, Sana Javed, Mehmood Aslam, Saman Ansari, Qavi Khan, Salma Hasan, Rashid Farooqi, Muhammad Mubarik Ali",Pakistan,2019-08-01,2017,TV-14,0,"Crime TV Shows, International TV Shows, Romantic TV Shows","After a rich politician's son kills a young woman's brother, an unlikely romantic connection complicates her pursuit of justice.",2019,8.0,1
7184,s7185,TV Show,Khan: No. 1 Crime Hunter,,Rajesh Sharma,India,2018-05-01,2018,TV-14,0,"Crime TV Shows, International TV Shows, TV Comedies","From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories.",2018,5.0,1
7185,s7186,TV Show,Khelti Hai Zindagi Aankh Micholi,,"Ulka Gupta, Gautami Kapoor, Reema Shaikh, Vinay Jain, Manav Gohil, Helly Shah",India,2017-04-01,2013,TV-14,0,"International TV Shows, TV Dramas","The life of a 14-year-old girl is thrown into turmoil when her father dies, forcing her mother to make hard choices for their family.",2017,4.0,1
7187,s7188,TV Show,Khotey Sikkey,,"Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh",India,2018-03-15,2011,TV-14,0,"Crime TV Shows, International TV Shows, TV Dramas",Five affluent youths find a new sense of purpose as they team up with a Mumbai police officer on crime-busting missions around the city.,2018,3.0,1
7196,s7197,TV Show,Kikoriki,,Igor Dmitriev,,,2010,TV-Y,0,Kids' TV,"A wacky rabbit and his gang of animal pals have fun solving problems, sharing stories and exploring their sometimes magical, always special world.",,,2
7209,s7210,TV Show,Kingdoms of the Sky,Steve Greenwood,,,2018-10-01,2018,TV-PG,0,"British TV Shows, Docuseries, Science & Nature TV",Meet the astonishing animals and adventurous people living on some of the most spectacular – and formidable – mountain ranges in the world.,2018,10.0,1
7214,s7215,TV Show,Kiss The Series,,"Lapassalal Jiravechsoontornkul, Mook Worranit Thawornwong, Jirakit Thawornwong, Sattaphong Phiangphor",,2019-05-26,2016,TV-14,0,"International TV Shows, Romantic TV Shows, TV Dramas","After a night out, Sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever.",2019,5.0,1
7215,s7216,TV Show,Kitten Rescuers,,Jo Brand,United Kingdom,2019-10-02,2017,TV-14,0,"British TV Shows, International TV Shows, Reality TV",Cat-crazy host Jo Brand follows vets and animal welfare officers who take on daring rescues to save furry felines subjected to different cat-astrophes.,2019,10.0,1
7217,s7218,TV Show,Knights of Sidonia,,"Ryota Osaka, Aya Suzaki, Aki Toyosaki, Takahiro Sakurai, Hisako Kanemoto, Eri Kitamura, Sayaka Ohara, Tomohiro Tsuboi, Takehito Koyasu, Satomi Arai, Atsuko Tanaka, Nanako Mori, Takako Honda, Kohsuke Toriumi, Ayane Sakura, Osamu Saka",Japan,2019-12-01,2015,TV-MA,0,"Anime Series, International TV Shows",A hero rises to save a world that's also a spaceship under siege by an alien threat in this original anime series based on the popular manga comic.,2019,12.0,2
7222,s7223,TV Show,Kon Kon Kon,,,,2018-02-16,2014,TV-PG,0,"Docuseries, International TV Shows",Explore the stories of ordinary people dealing with extraordinary circumstances in this series that focuses on overcoming obstacles and odds.,2018,2.0,1
7235,s7236,TV Show,Krishna Balram,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Arun Shekher, Sanchit Wartak, Sharda Agnihotri, Ashok Sonawane, Joy Mukherjee",,2019-07-08,2019,TV-Y7,0,Kids' TV,"From playing pranks to destroying demons, Lord Krishna and brother Balaram's lives in Vrindavan are action-packed in this mythological series.",2019,7.0,1
7245,s7246,TV Show,Kurt Seyit & Sura,,"Kıvanç Tatlıtuğ, Farah Zeynep Abdullah, Fahriye Evcen, Ushan Çakır, Birkan Sokullu",Turkey,2016-12-26,2014,TV-14,0,"International TV Shows, Romantic TV Shows, TV Dramas",A Turkish lieutenant and the daughter of Russian nobles fight for their love against forces of family and social expectation and historical events.,2016,12.0,1
7254,s7255,TV Show,La Familia P. Luche,,"Eugenio Derbez, Consuelo Duval, Luis Manuel Ávila, Regina Blandón, Miguel Perez, Barbara Torres, Dalilah Polanco, Pierre Angelo",United States,,2012,TV-14,0,"International TV Shows, Spanish-Language TV Shows, TV Comedies","This irreverent sitcom featues Ludovico, Federica and their three children Bibi, Junior and Ludoviquito, living in Ciudad P. Luche.",,,3
7255,s7256,TV Show,La Femme,,"Zoe Tay, Ann Kok, Tiffany Leong, Tay Ping Hui, Yao Wenlong, Shaun Chen, Paige Chua, Nat Ho, Desmond Sim",,2017-10-16,2016,TV-14,0,"International TV Shows, TV Dramas","Personal desires guide the lives of a marriage-averse entrepreneur, a housewife coping with infidelity and a career woman who leaves her spouse.",2017,10.0,1
7256,s7257,TV Show,La Piloto,,"Livia Brito, Juan Eduardo Colucho, Arap Bethke, María Fernanda Yépes, Alejandro Nones, María De La Fuente, Verónica Montes, Natasha Domínguez, María Fernanda García, Mauricio Aspe, Stephanie Salas, Tommy Vasquez, Macarena Achaga",Mexico,2018-04-02,2017,TV-MA,0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Dreaming her whole life of becoming a pilot, Yolanda finds work as a flight attendant, unaware she'll soon be thrust into a drug smuggling operation.",2018,4.0,1
7257,s7258,TV Show,La Rosa de Guadalupe,,"Milia Nader, Francisco Avendaño, Diego Lara, Sandra Itzel, Marisol del Olmo, Aleyda Gallardo, Gerardo Murguía, Roxana Saucedo, Emmanuel Orenday, Maru Dueñas",Mexico,2019-01-15,2010,TV-PG,0,"Classic & Cult TV, Crime TV Shows, International TV Shows","This series responds to the need to believe in miracles, dreams, love stories and happy endings, with positive characters.",2019,1.0,1
7258,s7259,TV Show,La Viuda Negra,Alejandro Lozano,"Ana Serradilla, Julián Román, Ramiro Meneses, Juan Pablo Gamboa, Eileen Moreno, Luis Alfredo Velasco, Margarita Reyes, Alexander Gil, Luis Roberto Guzmán, Raúl Méndez","Colombia, Mexico, United States",2019-01-15,2016,TV-14,0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Beautiful and ruthless Griselda Blanco, known as the queen of cocaine, becomes Pablo Escobar's boss and governs a world of deceit and death.",2019,1.0,1
7264,s7265,TV Show,"Lady, la vendedora de rosas",,"Natalia Reyes, Michelle Orozco, Majida Issa, Ernesto Benjumea, Viña Machado, Carlos Mariño, Alberto Cardeño, Fabio Restrepo, Juan Pablo Barragán, Maria Jose Vargas",Colombia,2018-04-01,2015,TV-14,0,"International TV Shows, Spanish-Language TV Shows, TV Dramas","This series tells the life story of Colombian film star Lady Tabares, who was plucked off the mean streets to star in a film and quickly rose to fame.",2018,4.0,1
7266,s7267,TV Show,Land Girls,,"Becci Gemmell, Susan Cookson, Mark Benton, Mykola Allen, Sophie Ward, Jo Woodcock, Seline Hizli, Liam Boyle, Danny Webb, Nicholas Shaw, Carolyn Pickles, David Schofield, Summer Strallen, Christine Bottomley",United Kingdom,2017-08-01,2011,TV-14,0,"British TV Shows, International TV Shows, TV Dramas","Follow the lives, loves, highs and lows of four members of the Women's Land Army who are working at the Hoxley Estate during WWII.",2017,8.0,3
7268,s7269,TV Show,Last,,"Kye-sang Yoon, Beom-su Lee, Ye-ji Seo, Won-sang Park, Ye-jin Park, Hyung-jin Gong, Jong-jun Jeong, Se-ha Ahn, Jae-yee Goo, Yong-woo Lee",South Korea,2017-05-22,2015,TV-14,0,"Crime TV Shows, International TV Shows, Korean TV Shows","When his big stock plan fails, a hotshot fund manager winds up homeless and must learn the secret ranking system of the street in order to survive.",2017,5.0,1
7279,s7280,TV Show,Learning Time with Timmy,,Saskia Portway,United Kingdom,2020-05-15,2018,TV-Y,0,"British TV Shows, Kids' TV",Colorful characters and edutaining activities help make learning English fun in this series geared toward youngsters.,2020,5.0,1
7285,s7286,TV Show,Legends of Strength,,"Eugen Sandow, Apollon",United States,2019-01-18,2017,TV-PG,0,Docuseries,"From a circus entertainer to a grip master, meet the bodybuilding heroes who defied physical limits and redefined the meaning of strength.",2019,1.0,1
7287,s7288,TV Show,Lego Friends,,"Elisa Schnebelie, Raquel Christiana, Lucia Vecchio, Karen Strassman, Michelle Ruff, Sam Riegel",,2019-02-01,2017,TV-G,0,Kids' TV,"As a way to make friends, new girl in town Olivia volunteers to work at the Heartlake City World Petacular with four other girls.",2019,2.0,3
7288,s7289,TV Show,Lego Friends: Girls on a Mission,"Andrew Tan, Stephen Murray","Jasmine St. Clair, Allegra Clark, Rosamund Marks, Faye Mata, Kira Buckland, David Roach, Bradley Venable",Denmark,2019-02-01,2018,TV-Y,0,Kids' TV,"Five best friends put their teamwork, wits and courage to the test when they take on a mission to protect Heartlake City from bad people.",2019,2.0,1
7291,s7292,TV Show,Leo & Tig,,"Agniya Kuznetsova, Alexandra Ursulyak, Dmitriy Nazarov, Diomid Vinogradov, Elena Shulman, Kseniya Kutepova",,2018-08-20,2017,TV-Y,0,Kids' TV,Spunky leopard cub Leo and his loyal tiger pal Tig team up for fun and adventure as they explore the forest and learn about ancient legends.,2018,8.0,1
7295,s7296,TV Show,Leyla and Mecnun,Onur Ünlü,"Ali Atay, Melis Birkan, Serkan Keskin, Ahmet Mümtaz Taylan, Cengiz Bozkurt, Osman Sonant, Köksal Engür, Ege Tanman, İştar Gökseven",Turkey,2017-04-15,2014,TV-MA,0,"International TV Shows, Romantic TV Shows, TV Comedies","Destiny brings Mecnun and Leyla together as newborns, and again years later. Despite unexpected turns in Mecnun's zany life, Leyla remains a constant.",2017,4.0,3
7297,s7298,TV Show,License to Drill: Louisiana,,,Canada,2019-10-02,2014,TV-PG,0,Reality TV,"A crew of oil riggers work an off-season job and swap the blistering cold of their native Canada for sunny, Southern comfort in the Big Easy.",2019,10.0,1
7300,s7301,TV Show,Life on Location,,David Attenborough,United States,2015-04-22,2009,TV-G,0,"British TV Shows, Docuseries, Science & Nature TV","Members of the BBC's ""Life"" production crew go behind the scenes to explain just what it took to capture key sequences of the program.",2015,4.0,1
7301,s7302,TV Show,Life Story,,David Attenborough,United Kingdom,2016-06-20,2014,TV-14,0,"British TV Shows, Docuseries, Science & Nature TV",This documentary series follows wild creatures in their native habitats as they navigate the perilous journey from birth to adulthood and beyond.,2016,6.0,1
7307,s7308,TV Show,Limmy's Show!,,"Brian Limond, Debbie Welsh, Tom Brogan, Raymond Mearns, Kirstin McLean",United Kingdom,2019-10-01,2012,TV-MA,0,"British TV Shows, TV Comedies","Scottish comic Brian ""Limmy"" Limond headlines this sketch series featuring him in various roles from a TV psychic to costumed adventurer ""Falconhoof.""",2019,10.0,2
7312,s7313,TV Show,Little Lunch,,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena",Australia,2018-02-01,2015,,0,"Kids' TV, TV Comedies","Adopting a child's perspective, this show takes a humorous look at what happens during those action-packed 15 minutes of snack time each day.",2018,2.0,1
7321,s7322,TV Show,Liv and Maddie,,"Dove Cameron, Joey Bragg, Tenzing Norgay Trainor, Kali Rocha, Benjamin King",United States,2017-04-23,2017,TV-G,0,"Kids' TV, TV Comedies","After four years in Hollywood as a television star, Liv returns to Wisconsin to discover that either she – or her family – has changed.",2017,4.0,4
7324,s7325,TV Show,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),,,Spain,2019-02-01,2017,TV-14,0,"Crime TV Shows, Docuseries, International TV Shows","This true crime series investigates newfound evidence and unanswered questions in famous criminal cases, such as the murder of Asunta Basterra Porto.",2019,2.0,1
7325,s7326,TV Show,Lo que la vida me robó,,"Angelique Boyer, Sebastián Rulli, Luis Roberto Guzmán, Osvaldo Benavides, Daniela Castro, Ana Bertha Espín, Gabriela Rivero, Alejandro Ávila, Alejandra García, Carlos de la Mota, Sergio Sendel, Ferdinando Valencia, Grettell Valdez, Verónica Jaspeado, Margarita Magaña, Alexis Ayala, Alejandra Procuna, Juan Carlos Barreto",Mexico,2017-12-31,2013,TV-14,0,"Crime TV Shows, International TV Shows, Romantic TV Shows","In seaside Aguazul, beautiful Montserrat and her wily mother tangle with lovers, gangsters, financial ruin, obsession – and murder.",2017,12.0,1
7331,s7332,TV Show,LoliRock,,"Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni","South Korea, France",2018-05-01,2016,TV-Y,0,Kids' TV,A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.,2018,5.0,2
7333,s7334,TV Show,London Spy,Jakob Verbruggen,"Ben Whishaw, Jim Broadbent, Edward Holcroft, Samantha Spiro, Charlotte Rampling, Lorraine Ashbourne, David Hayman, Clarke Peters, Adrian Lester, Harriet Walter",United Kingdom,2017-03-31,2015,TV-MA,0,"British TV Shows, Crime TV Shows, International TV Shows","When his reclusive-banker lover disappears, a hard-partying young British hedonist plunges into the dangerous world of espionage to find the truth.",2017,3.0,1
7338,s7339,TV Show,Los 10 años de Peter Capusotto,,"Diego Capusotto, Ivana Acosta",,2018-06-29,2015,TV-MA,0,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Fictional personality Peter Capusotto parodies Argentine culture and rock music in a series of humorous sketches with recurring characters.,2018,6.0,1
7340,s7341,TV Show,Los tiempos de Pablo Escobar,Alessandro Angulo,,Colombia,2018-08-01,2012,TV-14,0,"Crime TV Shows, Docuseries, International TV Shows","Featuring never-before-seen images, personal testimonies and more, this is the story of one of the most notorious drug smugglers of all time.",2018,8.0,1
7342,s7343,TV Show,Lost Girl,,"Anna Silk, Kris Holden-Ried, Ksenia Solo, Richard Howland, Zoie Palmer, K.C. Collins",Canada,2016-04-17,2015,TV-14,0,"TV Dramas, TV Horror, TV Mysteries","Discovering she's a succubus who sustains herself by feeding on the sexual energy of humans, seductive Bo sets out on a journey to understand herself.",2016,4.0,5
7343,s7344,TV Show,Love Cuisine,,"Lego Lee, Allison Lin, Duncan Chow, Nita Lei, Hank Wu, Calvin Lee, Fu Lei",Taiwan,2016-08-01,2015,TV-MA,0,"International TV Shows, Romantic TV Shows, TV Comedies",A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.,2016,8.0,1
7348,s7349,TV Show,Love Rain,,"Keun-suk Jang, Yoon-ah Im, Shi-hoo Kim, Eun-seo Son, In-guk Seo, Bo-ra Hwang, Jin-young Jung, Mi-sook Lee",South Korea,2018-05-01,2012,TV-PG,0,"International TV Shows, Korean TV Shows, Romantic TV Shows","A story of two couples' journey of new love, loss and unexpected reunion spans decades, from the 1970s through present day.",2018,5.0,1
7349,s7350,TV Show,Love Rhythms - Accidental Daddy,,Udom Taephanit,,2018-06-18,2016,TV-MA,0,"International TV Shows, TV Comedies, TV Dramas",A successful DJ's bachelor lifestyle is upended by a young woman who claims to be his long lost daughter.,2018,6.0,1
7353,s7354,TV Show,Love Your Garden,,"Alan Titchmarsh, David Domoney, Frances Tophill, Katie Rushworth",United Kingdom,2019-07-26,2013,TV-G,0,"British TV Shows, International TV Shows, Reality TV",Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the U.K. planting dream gardens for deserving citizens.,2019,7.0,1
7359,s7360,TV Show,Lucky Days,,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien",China,2016-09-01,2010,TV-PG,0,"International TV Shows, Romantic TV Shows, TV Comedies","When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage.",2016,9.0,1
7368,s7369,TV Show,Mad Men,,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica Paré, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",United States,2015-03-22,2014,TV-14,0,TV Dramas,"Set in 1960s New York City, this award-winning series takes a peek inside an ad agency during an era when the cutthroat business had a glamorous lure.",2015,3.0,7
7375,s7376,TV Show,Maggie & Bianca: Fashion Friends,Iginio Straffi,"Emanuela Rei, Giorgia Boni, Sergio Ruggeri, Luca Murphy, Federica Corti, Federico Pedroni, Tiffany Zhou, Sergio Melone",Italy,2019-03-31,2017,TV-Y7,0,"Kids' TV, TV Comedies","Originally polar opposites, an American fashion student and the daughter of an industry mogul form an everlasting bond and start a rock band in Milan.",2019,3.0,1
7376,s7377,TV Show,Magi: Adventure of Sinbad,,"Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi",Japan,2016-07-14,2016,TV-14,0,"Anime Series, International TV Shows",The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.,2016,7.0,1
7381,s7382,TV Show,Maharakshak Devi,,"Umang Jain, Indraneil Sengupta, Rohit Bakshi, Karan Suchak, Shresth Kumar, Ankit Gera, Rushiraj Pawar, Nikita Sharma, Varun Kapoor, Kamalika Guha Thakurta, Sahil Uppal, Charu Asopa",India,2017-04-15,2015,TV-14,0,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","After years spent in isolation, a young girl with extraordinary powers returns to human society to battle dark, mythological beings.",2017,4.0,1
7382,s7383,TV Show,Maharakshak: Aryan,,"Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain",India,2017-04-01,2014,TV-14,0,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","Shy nerd Aryan learns soon after his 18th birthday that he has inherited superpowers, which he must use to vanquish a variety of evil threats.",2017,4.0,1
7383,s7384,TV Show,Mahi Way,,"Pushtii Shakti, Viraf Patel, Siddhant Karnick, Monica Khanna, Amrita Raichand, Suparna Marwah, Mark Farokh Parekh",India,2018-03-01,2010,TV-14,0,"International TV Shows, TV Comedies","Though worried she's doomed to be single forever, Mahi embraces her vivacious and creative nature while working to tame her inner critic.",2018,3.0,1
7385,s7386,TV Show,Mahmut & Meryem,,"Aras Bulut İynemli, Eva Dedova, Fahreddin Manafov, Melahat Abbasova, Polat Bilgin, Mehmet Çevik, Shamil Suleimanov, Şafak Başkaya, İlker Kızmaz, Kristina Krepela, Ufuk Şen","Turkey, Azerbaijan",2016-12-26,2013,TV-14,0,"International TV Shows, Romantic TV Shows, TV Dramas","In the 16th century, the heir to a Muslim empire embarks on a dangerous journey to find his true love, who was taken away by her Christian father.",2016,12.0,1
7392,s7393,TV Show,Man vs Wild with Sunny Leone,,"Bear Grylls, Sunny Leone",,2018-12-01,2018,TV-PG,0,"International TV Shows, Reality TV, TV Action & Adventure",The adventures of Bear Grylls get a unique spin as Bollywood star Sunny Leone hosts the show famous for revealing Bear's wilderness survival skills.,2018,12.0,1
7404,s7405,TV Show,Marching Orders,,,United States,2018-08-03,2018,TV-14,0,Docuseries,"A top-ranked college marching band’s members fight to keep their spots, memorize routines, tend to their social lives – and slay the competition.",2018,8.0,1
7406,s7407,TV Show,Maron,,"Marc Maron, Judd Hirsch, Josh Brener, Nora Zehetner, Andy Kindler",United States,,2016,TV-MA,0,TV Comedies,"Marc Maron stars as Marc Maron, who interviews fellow comedians for his popular podcast, only to reveal more about his own neuroses and relationships.",,,4
7408,s7409,TV Show,Married at First Sight,,"Viviana Coles, Calvin Roberson, Pepper Schwartz",United States,2020-04-13,2019,TV-14,0,"Reality TV, Romantic TV Shows","Set up by experts, four couples meet at the altar for the first time and test their compatibility after the wedding.",2020,4.0,1
7409,s7410,TV Show,Mars,Everardo Gout,"Jihae, Alberto Ammann, Clémentine Poidatz, Anamaria Marinca, Sammi Rotibi, Nicholas Wittman, Cosima Shaw",United States,2019-11-01,2018,TV-PG,0,"Docuseries, Science & Nature TV, TV Dramas",Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.,2019,11.0,2
7418,s7419,TV Show,Mary Portas: Secret Shopper,,Mary Portas,United Kingdom,2019-07-26,2016,TV-14,0,"British TV Shows, International TV Shows, Reality TV",Retail consultant Mary Portas collaborates with Britain's most complained-about stores to help them better serve fed-up customers.,2019,7.0,1
7435,s7436,TV Show,Mega Food,,,United Kingdom,2019-07-12,2013,TV-G,0,"British TV Shows, Docuseries, International TV Shows","Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen.",2019,7.0,1
7436,s7437,TV Show,MegaTruckers,,,Australia,2019-07-12,2012,TV-PG,0,Reality TV,"This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia.",2019,7.0,1
7438,s7439,TV Show,Melodies of Life - Born This Way,,,,2019-06-21,2016,TV-14,0,"International TV Shows, Romantic TV Shows, TV Comedies","A celebrated pastry chef and his fellow staff members at a bake shop embark on bittersweet adventures in love, work and friendship.",2019,6.0,1
7446,s7447,TV Show,Mere Papa Hero Hiralal,,"Sarwar Ahuja, Riva Arora",,2018-05-01,2018,TV-14,0,"International TV Shows, TV Dramas","A simple auto-rickshaw driver on the streets of Lucknow, Hiralal Tiwari does everything he can to give his gravely ill daughter a happy life.",2018,5.0,1
7447,s7448,TV Show,Merlí,,"Francesc Orella, David Solans, Candela Antón, Albert Baró, Adrian Grösser, Marcos Franz, Pau Poch, Júlia Creus, Carlos Cuevas, Elisabet Casanovas, Iñaki Mur, Pau Durà, Pere Ponce, Mar del Hoyo, Rubén de Eguia, Patrícia Bargalló, Assun Planas, Pep Jové, Anna Maria Barbany, Marta Marco, Jordi Martínez, Victòria Pagès, Marta Domingo, Anna Ycobalzeta, Oriol Pla, Pepa López",Spain,2016-12-01,2015,TV-MA,0,"International TV Shows, TV Dramas, Teen TV Shows","An unconventional high school philosophy teacher upsets a few parents and staff, romances others and inspires all his pupils, including his gay son.",2016,12.0,1
7449,s7450,TV Show,Mexico Diseña,,,United States,2017-02-01,2016,TV-PG,0,"International TV Shows, Reality TV, Spanish-Language TV Shows",Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.,2017,2.0,1
7453,s7454,TV Show,Midnight Misadventures With Mallika Dua,,Mallika Dua,India,2019-04-01,2018,TV-14,0,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","In this talk show, comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives.",2019,4.0,1
7455,s7456,TV Show,Mighty Morphin Alien Rangers,,"Julia Jordan, Matthew Sakimoto, Sicily Johnson, Michael O'Laskey II, Michael R. Gotto, Justin Timsit, Rajia Baroudi, David Bacon, Jim Gray, Karim Prince, Alan Palmer, Tom Wyner, Barbara Goodson, Robert Axelrod, Kerrigan Mahan",,2016-01-01,1996,TV-Y7,0,Kids' TV,Visitors arrive from space to help Red Ranger and his squad – temporarily stripped of their powers – fight against Lord Zedd and Rita Repulsa.,2016,1.0,1
7457,s7458,TV Show,Mini Wolf,,,France,2018-09-16,2014,TV-G,0,Kids' TV,Mini-Wolf and his fun-loving pals friends are always on the look out for a new adventure – even if it includes a little bit of mischief.,2018,9.0,2
7459,s7460,TV Show,Minute to Win It,,Apolo Anton Ohno,United States,2018-12-15,2013,TV-PG,0,Reality TV,"In this game show hosted by Olympian Apolo Anton Ohno, contestants compete by completing 60-second challenges using common household items.",2018,12.0,1
